color,r,g,b
red,255,0,0
green,0,255,0
blue,0,0,255
lightgray,211,211,211
darkgray,169,169,169
white,255,255,255
black,0,0,0
lightred,255,102,102
lightgreen,102,255,102
lightblue,102,102,255
yellow,255,255,0
cyan,0,255,255
magenta,255,0,255
purple,128,0,128
orange,255,165,0
pink,255,192,203
brown,165,42,42
gray,128,128,128
lightyellow,255,255,102
lightcyan,102,255,255
lightmagenta,255,102,255
darkred,139,0,0
darkgreen,0,100,0
darkblue,0,0,139
darkyellow,139,139,0
darkcyan,0,139,139
darkmagenta,139,0,139
